,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
70,Hakim Ziyech,7,7,635,1,1,10,2,1,0,0,0,211.0,306.0,69.0,10.0,7,10.0,10,4.0,391.0,12.0,29.0,41.4,12,7,2,30,0.0,0.0,0,3.0,6.0,FW,29,England,Chelsea,Morocco
71,Achraf Hakimi,7,7,631,0,1,4,1,0,0,0,0,312.0,382.0,81.7,26.0,17,7.0,9,12.0,482.0,2.0,15.0,13.3,6,13,0,12,0.0,0.0,0,5.0,8.0,DF,23,France,Paris SG,Morocco
72,Youssef EnNesyri,7,7,542,2,0,9,3,2,0,0,0,50.0,81.0,61.7,3.0,2,5.0,1,11.0,129.0,5.0,8.0,62.5,2,4,4,0,0.0,0.0,0,21.0,14.0,FW,25,Spain,Sevilla,Morocco
73,Sofiane Boufal,7,7,475,0,0,7,1,0,0,1,0,99.0,133.0,74.4,11.0,5,9.0,2,1.0,200.0,14.0,27.0,51.9,11,14,2,7,0.0,0.0,0,3.0,7.0,FW,28,France,Angers,Morocco
74,Yassine Bounou,6,6,570,0,0,0,0,0,0,0,0,154.0,209.0,73.7,0.0,0,0.0,0,5.0,218.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,1.0,0.0,GK,31,Spain,Sevilla,Morocco
75,Azzedine Ounahi,7,6,568,0,0,6,1,0,0,1,0,216.0,265.0,81.5,9.0,8,5.0,7,2.0,330.0,10.0,13.0,76.9,3,13,1,3,0.0,0.0,0,1.0,3.0,MF,22,France,Angers,Morocco
76,Romain Saass,6,6,466,1,0,1,1,1,0,1,0,159.0,199.0,79.9,5.0,2,3.0,3,30.0,247.0,1.0,2.0,50.0,4,0,2,1,0.0,0.0,0,7.0,0.0,DF,32,Turkey,Beaiktaa,Morocco
77,Noussair Mazraoui,5,5,365,0,0,4,2,0,0,0,0,98.0,121.0,81.0,14.0,9,6.0,1,16.0,176.0,1.0,5.0,20.0,3,1,1,2,0.0,0.0,0,1.0,3.0,DF,24,Germany,Bayern Munich,Morocco
78,Selim Amallah,7,4,409,0,0,2,0,0,0,1,0,65.0,87.0,74.7,13.0,9,6.0,8,3.0,147.0,1.0,7.0,14.3,11,8,0,2,0.0,0.0,0,2.0,9.0,MF,25,Belgium,Standard Liage,Morocco
79,Nayef Aguerd,4,4,353,0,0,1,0,0,0,0,0,137.0,158.0,86.7,4.0,2,3.0,4,12.0,184.0,0.0,0.0,0.0,2,0,1,0,0.0,0.0,1,5.0,2.0,DF,26,England,West Ham,Morocco
80,Jawad El Yamiq,6,3,309,0,0,2,1,0,0,0,0,146.0,164.0,89.0,4.0,2,6.0,5,17.0,202.0,0.0,0.0,0.0,1,4,0,0,0.0,0.0,0,6.0,1.0,DF,30,Spain,Valladolid,Morocco
81,Yahya Attiat Allah,6,2,318,0,1,2,0,0,0,0,0,98.0,137.0,71.5,4.0,2,4.0,0,15.0,169.0,0.0,2.0,0.0,8,3,0,8,0.0,0.0,0,0.0,7.0,DF,27,Morocco,Wydad Casablanca,Morocco
82,Achraf Dari,3,2,187,1,0,1,1,1,0,1,0,99.0,111.0,89.2,1.0,0,7.0,5,9.0,139.0,0.0,0.0,0.0,2,1,0,0,0.0,0.0,0,5.0,5.0,DF,23,France,Brest,Morocco
